id,name,effect,description text,rarity,implemented?
1,MASSIVE TAIL,TAIL RANGE + AND TAIL DAMAGE +,tbd,everyday,y
2,LUCKY WATCH,EACH ACTIVE RELOAD SUCCESS REPLENISHES ONE AMMO,tbd,everyday,y
3,SLINKY,TAIL LENGTH+,tbd,everyday,y
4,BIG MEAL,TAIL ATTACK WIDTH+,tbd,everyday,y
5,CURRY,FIRE BREATH DURATION+,tbd,everyday,y
6,SUNNY SIDE EGG,NEST HEALTH UP 1,tbd,everyday,y
7,BIG GULP,20 SPIT AMMO,tbd,everyday,y
8,BULK PEPPERS,FIRE BREATH DAMAGE+,tbd,everyday,y
9,TURT KWON DO,DAMAGE+,tbd,everyday,y
10,LUCKY SHOES,SPEED+,tbd,everyday,y
11,SHARP SPIT,PROJECTILE SPEED+,tbd,everyday,y
12,JAW BREAKER,SPIT PELLET RADIUS+,tbd,everyday,y
13,RING LIGHT,INCREASES RENOWN GAIN,tbd,everyday,y
14,HAND CUFFS,GAIN A RANDOM POWER UP WHEN THE NEST TAKES DAMAGE,tbd,everyday,y
15,RIZZO,ENEMY SPIT KILLS EARN EXTRA RENOWN,follows you around filming,everyday,y
16,ROCCO,ENEMY TAIL KILLS EARN EXTRA RENOWN,follows you around writing,everyday,y
17,RIPPO,ENEMY FIRE KILLS EARN EXTRA RENOWN,follows you around taking pictures,everyday,y
18,CHEAP SHIELD,BLOCK 1 DAMAGE,tbd,everyday,y
19,TREADMILL,SHELL RECOVERY TIME REDUCED,tbd,everyday,y
20,BACKED UP,CLIP SIZE -1 AND DAMAGE++,tbd,everyday,y
21,SLOWDOWN,PROJECTILE SPEED- AND SPIT PELLET RADIUS+,tbd,everyday,y
22,FAST HANDS,RELOAD SPEED+,tbd,everyday,y
41,PRIME RIB,NEST HEALTH UP AT THE COST OF FIRE RATE,tbd,everyday,y
42,CLAM CHOWDER,NEST HEALTH UP AT THE COST OF SPEED,tbd,everyday,y
43,CHICKEN SANDWICH,NEST HEALTH UP AT THE COST OF DAMAGE,tbd,everyday,y
44,BOK CHOY,FIRE RATE+,tbd,everyday,y
47,BULGOGI,FIRE RATE DOWN,tbd,everyday,bypass
48,CHAR SIU,FIRE RATE SEVERELY DOWN,tbd,everyday,bypass
49,HORSE POWER,ADDS MORE KNOCKBACK TO YOUR WEAPONS,tbd,everyday,y
51,COUPON,ONE ITEM IN NEXT SHOP IS FREE,tbd,everyday,y
52,BOGO,"BUY ONE, GET ONE FREE",tbd,everyday,bypass
53,ROOSTER HAT,ACTIVE RELOAD IS EASIER,tbd,everyday,y
54,SECRET MANUAL,CLIP SIZE +1,tbd,everyday,y
55,CANNON BALL,SPIT COMES OUT LIKE A CANNONBALL,tbd,everyday,y
23,4D CHARM,INFINITE CLIP BUT SLOWER FIRE RATE,tbd,aberrant,y
24,TOMATO,NEST HEALTH UP+++,tbd,odd,y
25,PAID AD,GIVES SOME RENOWN AFTER YOU LEAVE THE SHOP,tbd,odd,y
26,BARBELL,DAMAGE UP++,tbd,odd,y
27,ANKLE WEIGHTS,SPEED UP++,tbd,odd,y
28,CHEWING GUM,PROJECTILE SPEED++,tbd,odd,y
29,VITAMINS,SPIT PELLET RADIUS++,tbd,odd,y
30,PRESS RELEASE,INCREASES DAMAGE BASED ON RENOWN,tbd,odd,y
45,KIMCHI,FIRE RATE++,tbd,odd,y
46,TTEOK BOKKI,FIRE RATE+++,tbd,odd,y
56,GHOST FLU,SPIT PASSES THROUGH ENEMIES AT THE COST OF DAMAGE,tbd,odd,y
57,THORNS,ENEMIES GET DAMAGED ON CONTACT,tbd,odd,y
58,QUICK HANDS,EVERY TIME YOU SWAP WEAPONS YOU GAIN RENOWN,tbd,odd,y
59,FAMAS,BURST FIRE SPIT,tbd,odd,y
31,EXTENDED MAG,CLIP SIZE++,tbd,remarkable,y
32,STOP WATCH,EVERYONE MOVES 30% SLOWER,tbd,remarkable,y
33,GOOD DEED,ADD 5000 RENOWN,tbd,remarkable,y
34,HEALING POT,HEALTH POINTS UP 6,tbd,remarkable,y
35,SQUAT RACK,DAMAGE+++,tbd,remarkable,y
36,ADRENA SHOT,SPEED+++,tbd,remarkable,y
37,RESEARCH,PROJECTILE SPEED+++,tbd,remarkable,y
38,ISOTOPE,SPIT PELLET RADIUS+++,tbd,remarkable,y
39,CENTURY EGG,ALL STATS UP,Some say this egg is over a hundred years old.,remarkable,y
50,GAS,ADDS MORE FIREBREATH POWER-UPS,tbd,remarkable,y
60,NO SHIRT NO SHOES,NEXT SHOP IS UNAVAILABLE,tbd,remarkable,bypass
61,REWARDS CARD,BLIND BOXES STAY THE SAME PRICE AND NEVER GO UP,tbd,remarkable,bypass
62,VUVU ZUELA,SPIT SHOOTS OUT IN A CONE DURING ACTIVE RELOAD BOOST,tbd,remarkable,y
63,HIGH ROLLER SHADES,FIRST BLIND BOX IS ALWAYS FREE,tbd,aberrant,bypass
64,CHOCOLATE COIN,SPIT USES RENOWN WHEN YOU HAVE NO AMMO,tbd,aberrant,y
65,TOMBSTONE,MANGO NO LONGER COLLIDES WITH ENEMIES,tbd,aberrant,y
40,WATER JUG,ADDS AN ADDITIONAL STREAM OF SPIT,tbd,aberrant,y
