wave_num,numAnts,numFalcons,numSquirrels,numIce,numRock,numPowerUps,numKillsToClear
1,10,0,0,0,0,0,8
2,16,0,0,0,0,1,13
3,25,2,0,0,0,2,22
4,36,4,0,0,0,3,32
5,64,6,0,0,0,4,56
6,81,8,2,0,0,5,73
7,15,50,4,0,0,6,56
8,121,12,8,0,0,7,113
9,144,14,16,2,0,8,141
10,169,16,32,2,0,9,176
11,196,18,128,2,0,10,276
12,225,20,256,4,2,11,406
13,256,22,286,4,2,12,456
14,289,24,319,4,2,13,511
15,324,26,354,6,2,14,570
16,361,28,391,6,4,15,632
17,400,30,430,6,4,16,696
18,441,32,471,10,4,17,767
19,484,34,514,10,4,18,837
20,529,36,559,15,8,19,918
21,576,38,606,15,8,20,995
22,625,40,655,18,8,21,1077
23,676,42,706,18,8,22,1160
24,729,44,759,20,16,23,1255
25,784,46,814,20,16,24,1344
26,784,48,814,40,20,25,1365
26,,50,,,,,
